Indicator,SeriesID,SERIES,SeriesDesc,REF_AREA,GeoAreaName,TIME_PERIOD,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,NATURE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,BIOCLIMATIC_BELT,LAND_COVER,OBS_VALUE,OBS_VALUE_RSA
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Artificial Surfaces,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Artificial Surfaces,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Artificial Surfaces,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Artificial Surfaces,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Artificial Surfaces,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Croplands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Croplands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Croplands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Croplands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Croplands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Grasslands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Grasslands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Grasslands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Grasslands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Grasslands,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Tree-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Tree-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Tree-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Tree-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Tree-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Shrub-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Shrub-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Shrub-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Shrub-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Shrub-covered areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Sparsely natural vegetated areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Sparsely natural vegetated areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Sparsely natural vegetated areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Sparsely natural vegetated areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Sparsely natural vegetated areas,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Terrestrial barren land,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Terrestrial barren land,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Terrestrial barren land,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Terrestrial barren land,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Terrestrial barren land,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Permanent snow and glaciers,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Permanent snow and glaciers,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Permanent snow and glaciers,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Permanent snow and glaciers,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Permanent snow and glaciers,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Inland water bodies,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Inland water bodies,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Inland water bodies,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Inland water bodies,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Inland water bodies,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Nival,Green Cover,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Alpine,Green Cover,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Montane,Green Cover,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Remaining Mountain Area,Green Cover,,
15.4.2,TBD,TBD,TBD,,,,,,,,,KM2,0,Total,Green Cover,,
