ID,NAME,M49code,ISO3,
0,Afghanistan,4,AFG,
1,Åland Islands,248,ALA,
2,Albania,8,ALB,
3,Algeria,12,DZA,
4,American Samoa,16,ASM,
5,Andorra,20,AND,
6,Angola,24,AGO,
7,Anguilla,660,AIA,
8,Antarctica,10,ATA,
9,Antigua and Barbuda,28,ATG,
10,Argentina,32,ARG,
11,Armenia,51,ARM,
12,Aruba,533,ABW,
13,Australia,36,AUS,
14,Austria,40,AUT,
15,Azerbaijan,31,AZE,
16,Bahamas,44,BHS,
17,Bahrain,48,BHR,
18,Bangladesh,50,BGD,
19,Barbados,52,BRB,
20,Belarus,112,BLR,
21,Belgium,56,BEL,
22,Belize,84,BLZ,
23,Benin,204,BEN,
24,Bermuda,60,BMU,
25,Bhutan,64,BTN,
26,Bolivia (Plurinational State of),68,BOL,
27,Bonaire, Sint Eustatius and Saba,535,BES
28,Bosnia and Herzegovina,70,BIH,
29,Botswana,72,BWA,
30,Bouvet Island,74,BVT,
31,Brazil,76,BRA,
32,British Indian Ocean Territory,86,IOT,
33,British Virgin Islands,92,VGB,
34,Brunei Darussalam,96,BRN,
35,Bulgaria,100,BGR,
36,Burkina Faso,854,BFA,
37,Burundi,108,BDI,
38,Cabo Verde,132,CPV,
39,Cambodia,116,KHM,
40,Cameroon,120,CMR,
41,Canada,124,CAN,
42,Cayman Islands,136,CYM,
43,Central African Republic,140,CAF,
44,Chad,148,TCD,
45,Chile,152,CHL,
46,China,156,CHN,
47,China, Hong Kong Special Administrative Region,344,HKG
48,China, Macao Special Administrative Region,446,MAC
49,Christmas Island,162,CXR,
50,Cocos (Keeling) Islands,166,CCK,
51,Colombia,170,COL,
52,Comoros,174,COM,
53,Congo,178,COG,
54,Cook Islands,184,COK,
55,Costa Rica,188,CRI,
56,Côte d’Ivoire,384,CIV,
57,Croatia,191,HRV,
58,Cuba,192,CUB,
59,Curaçao,531,CUW,
60,Cyprus,196,CYP,
61,Czechia,203,CZE,
62,Democratic People's Republic of Korea,408,PRK,
63,Democratic Republic of the Congo,180,COD,
64,Denmark,208,DNK,
65,Djibouti,262,DJI,
66,Dominica,212,DMA,
67,Dominican Republic,214,DOM,
68,Ecuador,218,ECU,
69,Egypt,818,EGY,
70,El Salvador,222,SLV,
71,Equatorial Guinea,226,GNQ,
72,Eritrea,232,ERI,
73,Estonia,233,EST,
74,Eswatini,748,SWZ,
75,Ethiopia,231,ETH,
76,Falkland Islands (Malvinas),238,FLK,
77,Faroe Islands,234,FRO,
78,Fiji,242,FJI,
79,Finland,246,FIN,
80,France,250,FRA,
81,French Guiana,254,GUF,
82,French Polynesia,258,PYF,
83,French Southern Territories,260,ATF,
84,Gabon,266,GAB,
85,Gambia,270,GMB,
86,Georgia,268,GEO,
87,Germany,276,DEU,
88,Ghana,288,GHA,
89,Gibraltar,292,GIB,
90,Greece,300,GRC,
91,Greenland,304,GRL,
92,Grenada,308,GRD,
93,Guadeloupe,312,GLP,
94,Guam,316,GUM,
95,Guatemala,320,GTM,
96,Guernsey,831,GGY,
97,Guinea,324,GIN,
98,Guinea-Bissau,624,GNB,
99,Guyana,328,GUY,
100,Haiti,332,HTI,
101,Heard Island and McDonald Islands,334,HMD,
102,Holy See,336,VAT,
103,Honduras,340,HND,
104,Hungary,348,HUN,
105,Iceland,352,ISL,
106,India,356,IND,
107,Indonesia,360,IDN,
108,Iran (Islamic Republic of),364,IRN,
109,Iraq,368,IRQ,
110,Ireland,372,IRL,
111,Isle of Man,833,IMN,
112,Israel,376,ISR,
113,Italy,380,ITA,
114,Jamaica,388,JAM,
115,Japan,392,JPN,
116,Jersey,832,JEY,
117,Jordan,400,JOR,
118,Kazakhstan,398,KAZ,
119,Kenya,404,KEN,
120,Kiribati,296,KIR,
121,Kuwait,414,KWT,
122,Kyrgyzstan,417,KGZ,
123,Lao People's Democratic Republic,418,LAO,
124,Latvia,428,LVA,
125,Lebanon,422,LBN,
126,Lesotho,426,LSO,
127,Liberia,430,LBR,
128,Libya,434,LBY,
129,Liechtenstein,438,LIE,
130,Lithuania,440,LTU,
131,Luxembourg,442,LUX,
132,Madagascar,450,MDG,
133,Malawi,454,MWI,
134,Malaysia,458,MYS,
135,Maldives,462,MDV,
136,Mali,466,MLI,
137,Malta,470,MLT,
138,Marshall Islands,584,MHL,
139,Martinique,474,MTQ,
140,Mauritania,478,MRT,
141,Mauritius,480,MUS,
142,Mayotte,175,MYT,
143,Mexico,484,MEX,
144,Micronesia (Federated States of),583,FSM,
145,Monaco,492,MCO,
146,Mongolia,496,MNG,
147,Montenegro,499,MNE,
148,Montserrat,500,MSR,
149,Morocco,504,MAR,
150,Mozambique,508,MOZ,
151,Myanmar,104,MMR,
152,Namibia,516,NAM,
153,Nauru,520,NRU,
154,Nepal,524,NPL,
155,Netherlands (Kingdom of the),528,NLD,
156,New Caledonia,540,NCL,
157,New Zealand,554,NZL,
158,Nicaragua,558,NIC,
159,Niger,562,NER,
160,Nigeria,566,NGA,
161,Niue,570,NIU,
162,Norfolk Island,574,NFK,
163,North Macedonia,807,MKD,
164,Northern Mariana Islands,580,MNP,
165,Norway,578,NOR,
166,Oman,512,OMN,
167,Pakistan,586,PAK,
168,Palau,585,PLW,
169,Panama,591,PAN,
170,Papua New Guinea,598,PNG,
171,Paraguay,600,PRY,
172,Peru,604,PER,
173,Philippines,608,PHL,
174,Pitcairn,612,PCN,
175,Poland,616,POL,
176,Portugal,620,PRT,
177,Puerto Rico,630,PRI,
178,Qatar,634,QAT,
179,Republic of Korea,410,KOR,
180,Republic of Moldova,498,MDA,
181,Réunion,638,REU,
182,Romania,642,ROU,
183,Russian Federation,643,RUS,
184,Rwanda,646,RWA,
185,Saint Barthélemy,652,BLM,
186,Saint Helena,654,SHN,
187,Saint Kitts and Nevis,659,KNA,
188,Saint Lucia,662,LCA,
189,Saint Martin (French Part),663,MAF,
190,Saint Pierre and Miquelon,666,SPM,
191,Saint Vincent and the Grenadines,670,VCT,
192,Samoa,882,WSM,
193,San Marino,674,SMR,
194,Sao Tome and Principe,678,STP,
195,Saudi Arabia,682,SAU,
196,Senegal,686,SEN,
197,Serbia,688,SRB,
198,Seychelles,690,SYC,
199,Sierra Leone,694,SLE,
200,Singapore,702,SGP,
201,Sint Maarten (Dutch part),534,SXM,
202,Slovakia,703,SVK,
203,Slovenia,705,SVN,
204,Solomon Islands,90,SLB,
205,Somalia,706,SOM,
206,South Africa,710,ZAF,
207,South Georgia and the South Sandwich Islands,239,SGS,
208,South Sudan,728,SSD,
209,Spain,724,ESP,
210,Sri Lanka,144,LKA,
211,State of Palestine,275,PSE,
212,Sudan,729,SDN,
213,Suriname,740,SUR,
214,Svalbard and Jan Mayen Islands,744,SJM,
215,Sweden,752,SWE,
216,Switzerland,756,CHE,
217,Syrian Arab Republic,760,SYR,
218,Tajikistan,762,TJK,
219,Thailand,764,THA,
220,Timor-Leste,626,TLS,
221,Togo,768,TGO,
222,Tokelau,772,TKL,
223,Tonga,776,TON,
224,Trinidad and Tobago,780,TTO,
225,Tunisia,788,TUN,
226,Türkiye,792,TUR,
227,Turkmenistan,795,TKM,
228,Turks and Caicos Islands,796,TCA,
229,Tuvalu,798,TUV,
230,Uganda,800,UGA,
231,Ukraine,804,UKR,
232,United Arab Emirates,784,ARE,
233,United Kingdom of Great Britain and Northern Ireland,826,GBR,
234,United Republic of Tanzania,834,TZA,
235,United States Minor Outlying Islands,581,UMI,
236,United States of America,840,USA,
237,United States Virgin Islands,850,VIR,
238,Uruguay,858,URY,
239,Uzbekistan,860,UZB,
240,Vanuatu,548,VUT,
241,Venezuela (Bolivarian Republic of),862,VEN,
242,Viet Nam,704,VNM,
243,Wallis and Futuna Islands,876,WLF,
244,Western Sahara,732,ESH,
245,Yemen,887,YEM,
246,Zambia,894,ZMB,
247,Zimbabwe,716,ZWE,
