Indicator,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,Footnote,Nature,Units,Reporting,SeriesCode,MountainClass,LULC_Class,MTNtmp,LULCtmp,VEGMNT
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,Cropland,1,3,31
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,Forest,1,1,11
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,Grassland,1,2,21
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,Wetland,1,4,41
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,Settlement,1,5,51
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,Otherland,1,6,61
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C1,TotalArea,1,9,91
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,Cropland,2,3,32
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,Forest,2,1,12
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,Grassland,2,2,22
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,Wetland,2,4,42
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,Settlement,2,5,52
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,Otherland,2,6,62
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C2,TotalArea,2,9,92
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,Cropland,3,3,33
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,Forest,3,1,13
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,Grassland,3,2,23
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,Wetland,3,4,43
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,Settlement,3,5,53
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,Otherland,3,6,63
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C3,TotalArea,3,9,93
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,Cropland,4,3,34
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,Forest,4,1,14
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,Grassland,4,2,24
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,Wetland,4,4,44
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,Settlement,4,5,54
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,Otherland,4,6,64
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C4,TotalArea,4,9,94
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,Cropland,5,3,35
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,Forest,5,1,15
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,Grassland,5,2,25
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,Wetland,5,4,45
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,Settlement,5,5,55
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,Otherland,5,6,65
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C5,TotalArea,5,9,95
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,Cropland,6,3,36
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,Forest,6,1,16
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,Grassland,6,2,26
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,Wetland,6,4,46
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,Settlement,6,5,56
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,Otherland,6,6,66
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,C6,TotalArea,6,9,96
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,Cropland,9,3,39
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,Forest,9,1,19
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,Grassland,9,2,29
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,Wetland,9,4,49
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,Settlement,9,5,59
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,Otherland,9,6,69
15.4.2,1778,Mountain area (square kilometres),0,,0,0,0,,,,KMSQ,,ER_MTN_TOTL,All,TotalArea,9,9,99
